cohort_week,cohort_size,week_1_retention,week_2_retention,week_3_retention,week_4_retention,week_5_retention,week_6_retention
2019-12-30,916,0.99,0.99,0.99,0.99,0.99,0.99
2020-01-06,1256,0.99,0.99,0.99,0.99,0.99,0.99
2020-01-13,1210,0.99,0.99,0.99,0.99,0.99,0.99
2020-01-20,1214,1.0,0.99,0.99,0.99,0.99,0.99
2020-01-27,1153,0.99,0.99,0.99,0.99,0.99,0.99
2020-02-03,1173,0.99,0.99,0.99,0.99,0.99,0.99
2020-02-10,1109,0.99,0.99,0.99,0.99,0.99,0.99
2020-02-17,1006,0.99,0.99,0.99,0.99,0.99,0.99
2020-02-24,1004,0.99,0.99,0.99,0.99,0.99,0.99
2020-03-02,1034,0.99,0.99,0.99,0.99,0.99,0.99
2020-03-09,1034,0.99,0.99,0.99,0.99,0.99,0.99
2020-03-16,956,0.99,0.99,0.99,0.99,0.99,0.99
2020-03-23,889,0.99,0.99,0.99,0.99,0.99,0.99
2020-03-30,983,0.99,0.99,0.99,0.99,0.98,0.98
2020-04-06,911,0.99,0.99,0.99,0.99,0.99,0.98
