customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
122,141,5,18104,3,2,4,324,Promising
1263,492,5,19114,1,2,4,124,Cannot Lose Them
2692,202,7,12493,2,4,2,242,Others
3181,532,5,18745,1,2,4,124,Cannot Lose Them
4106,836,4,18422,1,2,4,124,Cannot Lose Them
4721,375,7,12982,1,4,2,142,Others
9864,379,6,10045,1,3,2,132,At Risk
11414,398,7,17231,1,4,3,143,Cannot Lose Them
12049,137,8,11939,3,4,2,342,Others
14285,733,3,13491,1,1,3,113,Others
15807,64,5,21017,4,2,4,424,Potential Loyalists
16181,495,6,11214,1,3,2,132,At Risk
16203,374,6,11343,1,3,2,132,At Risk
16501,399,7,15008,1,4,3,143,Cannot Lose Them
16568,678,6,7212,1,3,1,131,At Risk
18594,13,7,12624,4,4,2,442,Others
19644,165,7,10756,3,4,2,342,Others
21159,222,7,12068,2,4,2,242,Others
21880,329,8,9811,2,4,2,242,Others
22860,464,6,9783,1,3,2,132,At Risk
25207,86,7,12852,3,4,2,342,Others
25378,499,7,17374,1,4,3,143,Cannot Lose Them
27243,634,6,12864,1,3,2,132,At Risk
28927,435,6,12768,1,3,2,132,At Risk
33863,541,3,13028,1,1,3,113,Others
34573,149,5,19567,3,2,4,324,Promising
35026,394,7,8228,1,4,1,141,Others
36682,34,6,8442,4,3,1,431,Potential Loyalists
37319,119,5,18663,3,2,4,324,Promising
38423,455,5,19133,1,2,4,124,Cannot Lose Them
38810,161,5,18612,3,2,4,324,Promising
40864,824,7,17211,1,4,3,143,Cannot Lose Them
42691,392,7,9501,1,4,2,142,Others
44030,89,7,10749,3,4,2,342,Others
44176,93,5,18016,3,2,4,324,Promising
45715,558,8,14420,1,4,3,143,Cannot Lose Them
46773,88,6,7561,3,3,1,331,Promising
48831,416,7,14071,1,4,3,143,Cannot Lose Them
2769,454,6,11695,1,3,2,132,At Risk
2792,480,5,19836,1,2,4,124,Cannot Lose Them
3095,592,5,18334,1,2,4,124,Cannot Lose Them
5232,64,3,13107,4,1,3,413,New Customers
5569,148,5,19109,3,2,4,324,Promising
8718,508,6,11617,1,3,2,132,At Risk
9021,450,6,12956,1,3,2,132,At Risk
10125,75,3,13251,4,1,3,413,New Customers
10720,56,5,18113,4,2,4,424,Potential Loyalists
11445,726,8,16316,1,4,3,143,Cannot Lose Them
11748,39,7,12762,4,4,2,442,Others
12612,102,6,5874,3,3,1,331,Promising
13966,523,8,17496,1,4,3,143,Cannot Lose Them
14309,116,6,7645,3,3,1,331,Promising
14857,356,8,12549,2,4,2,242,Others
16958,425,6,9800,1,3,2,132,At Risk
17085,21,7,10617,4,4,2,442,Others
17453,145,5,18158,3,2,4,324,Promising
18086,412,6,12518,1,3,2,132,At Risk
18184,73,5,18869,4,2,4,424,Potential Loyalists
20003,92,7,8694,3,4,1,341,Others
22016,374,6,11997,1,3,2,132,At Risk
28078,257,8,12522,2,4,2,242,Others
29965,321,7,12217,2,4,2,242,Others
30194,225,7,9188,2,4,2,242,Others
30217,490,7,16139,1,4,3,143,Cannot Lose Them
30759,118,5,18044,3,2,4,324,Promising
33527,65,7,12024,4,4,2,442,Others
35241,153,7,12232,3,4,2,342,Others
36462,223,7,12625,2,4,2,242,Others
36796,477,6,12320,1,3,2,132,At Risk
37753,19,8,10600,4,4,2,442,Others
